3,VNS,TABU,GENETIC
../datasetGenerator/META/randDataset1META.tsp,341974.000000,342254.000000,3863962.000000
../datasetGenerator/META/randDataset2META.tsp,340797.000000,341148.000000,4012836.000000
../datasetGenerator/META/randDataset3META.tsp,339163.000000,339871.000000,4889932.000000
../datasetGenerator/META/randDataset4META.tsp,342760.000000,342794.000000,3769106.000000
../datasetGenerator/META/randDataset5META.tsp,342617.000000,343068.000000,3822963.000000
../datasetGenerator/META/randDataset6META.tsp,340478.000000,341400.000000,4025049.000000
../datasetGenerator/META/randDataset7META.tsp,340167.000000,340930.000000,4319316.000000
../datasetGenerator/META/randDataset8META.tsp,344126.000000,344126.000000,3890863.000000
../datasetGenerator/META/randDataset9META.tsp ,344756.000000,345958.000000,4160471.000000
../datasetGenerator/META/randDataset10META.tsp,336805.000000,336805.000000,3741709.000000
../datasetGenerator/META/randDataset11META.tsp,341128.000000,341516.000000,4225067.000000
../datasetGenerator/META/randDataset12META.tsp ,340709.000000,340903.000000,4396311.000000
../datasetGenerator/META/randDataset13META.tsp,339122.000000,339693.000000,4029137.000000
../datasetGenerator/META/randDataset14META.tsp,340999.000000,341724.000000,4525817.000000
../datasetGenerator/META/randDataset15META.tsp ,341286.000000,341286.000000,4319920.000000
../datasetGenerator/META/randDataset16META.tsp,338481.000000,339321.000000,4775852.000000
../datasetGenerator/META/randDataset17META.tsp,342794.000000,343186.000000,4804591.000000
../datasetGenerator/META/randDataset18META.tsp,344011.000000,344284.000000,4226851.000000
../datasetGenerator/META/randDataset19META.tsp ,340047.000000,340047.000000,4137768.000000
../datasetGenerator/META/randDataset20META.tsp ,341071.000000,341071.000000,4315198.000000
