3, MTZ, MTZL+I, GG
DatasetGenerator/randomDataset0.tsp, 285.806000, 3422.944000, 12.424000
DatasetGenerator/randomDataset1.tsp, 2.849000, 1.016000, 14.353000
DatasetGenerator/randomDataset2.tsp, 77.849000, 5.590000, 24.627000
DatasetGenerator/randomDataset3.tsp, 724.887000, 287.076000, 13.356000
DatasetGenerator/randomDataset4.tsp, 7.334000, 0.926000, 13.476000
DatasetGenerator/randomDataset5.tsp, 2.065000, 0.926000, 10.512000
DatasetGenerator/randomDataset6.tsp, 8.894000, 9.973000, 13.855000
DatasetGenerator/randomDataset7.tsp, 1.428000, 1.148000, 13.367000
DatasetGenerator/randomDataset8.tsp, 157.413000, 199.249000, 12.047000
DatasetGenerator/randomDataset9.tsp, 195.588000, 29.825000, 13.464000
DatasetGenerator/randomDataset10.tsp, 47.241000, 37.823000, 13.852000
DatasetGenerator/randomDataset11.tsp, 8.281000, 1.417000, 12.133000
DatasetGenerator/randomDataset12.tsp, 31.891000, 7.900000, 12.704000
DatasetGenerator/randomDataset13.tsp, 356.429000, 459.212000, 16.376000
DatasetGenerator/randomDataset14.tsp, 20.377000, 6.067000, 9.885000
DatasetGenerator/randomDataset15.tsp, 2.056000, 0.416000, 9.452000
DatasetGenerator/randomDataset16.tsp, 13.993000, 3.154000, 13.329000
DatasetGenerator/randomDataset17.tsp, 28.707000, 13.851000, 10.738000
DatasetGenerator/randomDataset18.tsp, 16.243000, 2.308000, 13.642000
DatasetGenerator/randomDataset19.tsp, 109.709000, 32.567000, 13.774000
DatasetGenerator/randomDataset20.tsp, 25.248000, 6.763000, 13.980000
DatasetGenerator/randomDataset21.tsp, 24.494000, 3.958000, 9.665000
DatasetGenerator/randomDataset22.tsp, 344.312000, 33.020000, 10.806000
DatasetGenerator/randomDataset23.tsp, 54.768000, 9.214000, 10.081000
DatasetGenerator/randomDataset24.tsp, 3.225000, 1.528000, 10.361000
DatasetGenerator/randomDataset25.tsp, 3611.786000, 3672.807000, 10.965000
DatasetGenerator/randomDataset26.tsp, 164.208000, 2.785000, 13.613000
DatasetGenerator/randomDataset27.tsp, 115.125000, 34.984000, 13.459000
DatasetGenerator/randomDataset28.tsp, 75.106000, 15.060000, 15.470000
DatasetGenerator/randomDataset29.tsp, 8.882000, 1.690000, 13.487000
