4, MTZ, MTZL, MTZIND, GG
DatasetGenerator/randDataset1.tsp, 53.698000, 31.568000, 84.168000, 0.571000
DatasetGenerator/randDataset2.tsp, 2.574000, 1.030000, 4.289000, 1.060000
DatasetGenerator/randDataset3.tsp, 0.184000, 0.064000, 0.212000, 0.598000
DatasetGenerator/randDataset4.tsp, 0.153000, 0.080000, 0.189000, 1.003000
DatasetGenerator/randDataset5.tsp, 2.223000, 0.640000, 6.069000, 0.950000
DatasetGenerator/randDataset6.tsp, 0.304000, 0.607000, 0.368000, 0.411000
DatasetGenerator/randDataset7.tsp, 0.120000, 0.073000, 0.128000, 0.458000
DatasetGenerator/randDataset8.tsp, 0.138000, 0.073000, 0.192000, 0.636000
DatasetGenerator/randDataset9.tsp, 2.811000, 1.925000, 5.064000, 0.700000
DatasetGenerator/randDataset10.tsp, 4.493000, 0.969000, 3.937000, 3.154000
DatasetGenerator/randDataset11.tsp, 76.782000, 59.213000, 227.049000, 3.993000
DatasetGenerator/randDataset12.tsp, 0.476000, 0.566000, 0.757000, 2.246000
DatasetGenerator/randDataset13.tsp, 0.768000, 0.693000, 4.880000, 3.897000
DatasetGenerator/randDataset14.tsp, 16.755000, 6.268000, 45.337000, 5.894000
DatasetGenerator/randDataset15.tsp, 2.922000, 1.024000, 6.335000, 2.544000
DatasetGenerator/randDataset16.tsp, 0.583000, 0.481000, 0.589000, 1.530000
DatasetGenerator/randDataset17.tsp, 12.856000, 10.163000, 34.280000, 2.453000
DatasetGenerator/randDataset18.tsp, 3600.948000, 71.317000, 3558.767000, 4.909000
DatasetGenerator/randDataset19.tsp, 6.308000, 4.262000, 20.048000, 2.668000
DatasetGenerator/randDataset20.tsp, 5.728000, 3.219000, 25.959000, 5.057000
DatasetGenerator/randDataset21.tsp, 17.911000, 3.665000, 54.899000, 8.007000
DatasetGenerator/randDataset22.tsp, 80.049000, 59.421000, 158.548000, 7.016000
DatasetGenerator/randDataset23.tsp, 1.723000, 0.817000, 2.089000, 6.056000
DatasetGenerator/randDataset24.tsp, 3602.109000, 3638.872000, 3609.143000, 7.438000
DatasetGenerator/randDataset25.tsp, 24.271000, 6.608000, 46.511000, 6.882000
DatasetGenerator/randDataset26.tsp, 2.452000, 1.154000, 6.368000, 7.655000
DatasetGenerator/randDataset27.tsp, 13.315000, 4.224000, 22.809000, 8.194000
DatasetGenerator/randDataset28.tsp, 5.386000, 1.832000, 5.456000, 7.532000
DatasetGenerator/randDataset29.tsp, 72.293000, 11.575000, 110.090000, 8.857000
DatasetGenerator/randDataset30.tsp, 4.446000, 2.719000, 30.101000, 12.929000
